Restrição de Atendimento,Escola,Código INEP,UF,Município,Localização,Localidade Diferenciada,Categoria Administrativa,Endereço,Telefone,Dependência Administrativa,Categoria Escola Privada,Conveniada Poder Público,Regulamentação pelo Conselho de Educação,Porte da Escola,Etapas e Modalidade de Ensino Oferecidas,Outras Ofertas Educacionais,Latitude,Longitude
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET VILA BASILEIA,35238235,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"DOUTOR SOARES BRANDAO FILHO, 40 VILA BASILEIA. 02471-050 São Paulo - SP.",(11) 22395776,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.4812,-46.6517
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET CRISTINA ME,35238247,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"INACIO MAMMANA, 363 VILA VITORIO MAZZEI. 02409-060 São Paulo - SP.",(11) 29943072,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.4763,-46.6266
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET CELIA REGINA KUHL PROFA,35238259,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CAETANO TEIXEIRA, 291 JARDIM VIRGINIA BIANCA. 02355-270 São Paulo - SP.",(11) 29526558,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.4532,-46.6101
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET CANTIDIO NOGUEIRA SAMPAIO VER,35238260,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"VICENTE QUEROL, 150 JARDIM SAO JOAO ZONA NORTE. 02365-008 São Paulo - SP.",(11) 29953485,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.4372,-46.5847
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET JARDIM DAS PEDRAS,35238272,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ENGENHEIRO ANTONIO DE TOLEDO, 338 JARDIM DAS PEDRAS. 02367-010 São Paulo - SP.",(11) 29952865,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.4194,-46.5908
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET PARQUE CASA DE PEDRA,35238284,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CANTO DO ENGENHO, 288 PARQUE CASA DE PEDRA. 02322-210 São Paulo - SP.",(11) 22041092,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.4487,-46.5963
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET ERMANO MARCHETTI VER,35238296,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"NOVA LONDRINA, 151 VILA PAULISTANA. 02318-230 São Paulo - SP.",(11) 29537401,Municipal,Não Informado,Não,Sim,Entre 201 e 500 matrículas de escolarização,Educação Infantil,,-23.453,-46.5924
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET VILA GUSTAVO,35238302,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"JOAO ROSA, 8 VILA NIVI. 02255-130 São Paulo - SP.",(11) 29818517,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.4783,-46.592
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET FRANCISCO MARCONDES DE OLIVEIRA,35238314,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"CARLOS DOS SANTOS, 815 JARDIM BRASIL ZONA NORTE. 02234-000 São Paulo - SP.",(11) 22429767,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.4795,-46.5727
ESCOLA EM FUNCIONAMENTO E SEM RESTRIÇÃO DE ATENDIMENTO,CEI DIRET MARIA AUXILIADORA DA SILVA,35238326,SP,São Paulo,Urbana,A escola não está em área de localização diferenciada,Pública,"ANGELO ALOISIO, 145 GUAPIRA. 02276-100 São Paulo - SP.",(11) 22422973,Municipal,Não Informado,Não,Sim,Entre 51 e 200 matrículas de escolarização,Educação Infantil,,-23.4597,-46.5841
